DateTime,Sensor_id,Vendor,SensorModel,LAT,LONG,Zone,Temp_C,Temp_F,DistToWL_ft,DistToWL_m,DistToDF_ft,DistToDF_m,AlertTriggered,SensorStatus
2021-05-15T00:11:55,400789,ATT,ranger sensor,29.511164,-98.586094,Medical Center,-999,-999,13.0905511811024,3.99,13.500656167979,4.115,N,Normal
2021-05-15T00:26:55,400789,ATT,ranger sensor,29.511164,-98.586094,Medical Center,-999,-999,13.0905511811024,3.99,13.500656167979,4.115,N,Normal
2021-05-15T00:41:55,400789,ATT,ranger sensor,29.511164,-98.586094,Medical Center,-999,-999,13.0905511811024,3.99,13.500656167979,4.115,N,Normal
2021-05-15T00:56:55,400789,ATT,ranger sensor,29.511164,-98.586094,Medical Center,-999,-999,13.0905511811024,3.99,13.500656167979,4.115,N,Normal
2021-05-15T01:11:55,400789,ATT,ranger sensor,29.511164,-98.586094,Medical Center,-999,-999,13.0905511811024,3.99,13.500656167979,4.115,N,Normal
2021-05-15T01:26:55,400789,ATT,ranger sensor,29.511164,-98.586094,Medical Center,-999,-999,13.0905511811024,3.99,13.500656167979,4.115,N,Normal
2021-05-15T01:41:55,400789,ATT,ranger sensor,29.511164,-98.586094,Medical Center,-999,-999,13.0905511811024,3.99,13.500656167979,4.115,N,Normal
2021-05-15T01:56:55,400789,ATT,ranger sensor,29.511164,-98.586094,Medical Center,-999,-999,13.0905511811024,3.99,13.500656167979,4.115,N,Normal
2021-05-15T02:11:55,400789,ATT,ranger sensor,29.511164,-98.586094,Medical Center,-999,-999,13.0905511811024,3.99,13.500656167979,4.115,N,Normal
2021-05-15T02:27:42,400789,ATT,ranger sensor,29.511164,-98.586094,Medical Center,-999,-999,13.0905511811024,3.99,13.500656167979,4.115,N,Normal
2021-05-15T02:41:55,400789,ATT,ranger sensor,29.511164,-98.586094,Medical Center,-999,-999,13.1233595800525,4,13.500656167979,4.115,N,Normal
2021-05-15T02:56:55,400789,ATT,ranger sensor,29.511164,-98.586094,Medical Center,-999,-999,13.1233595800525,4,13.500656167979,4.115,N,Normal
2021-05-15T03:11:55,400789,ATT,ranger sensor,29.511164,-98.586094,Medical Center,-999,-999,13.1233595800525,4,13.500656167979,4.115,N,Normal
2021-05-15T03:26:55,400789,ATT,ranger sensor,29.511164,-98.586094,Medical Center,-999,-999,13.1233595800525,4,13.500656167979,4.115,N,Normal
2021-05-15T03:47:12,400789,ATT,ranger sensor,29.511164,-98.586094,Medical Center,-999,-999,13.1233595800525,4,13.500656167979,4.115,N,Normal
2021-05-15T04:02:55,400789,ATT,ranger sensor,29.511164,-98.586094,Medical Center,-999,-999,13.0905511811024,3.99,13.500656167979,4.115,N,Normal
2021-05-15T04:17:55,400789,ATT,ranger sensor,29.511164,-98.586094,Medical Center,-999,-999,13.1233595800525,4,13.500656167979,4.115,N,Normal
2021-05-15T04:32:55,400789,ATT,ranger sensor,29.511164,-98.586094,Medical Center,-999,-999,13.1233595800525,4,13.500656167979,4.115,N,Normal
